Actual Weight,Actual Width,Actual Height,Actual Length
20.0,20.0,35.0,25.0
18.0,33.0,14.0,48.0
35.0,31.5,55.0,49.0
52.0,58.0,141.0,67.0
21.0,48.0,35.0,85.0
12.289,39.5,32.0,62.5
1.395,25.0,14.5,37.0
15.0,56.0,21.0,56.0
25.0,55.0,35.0,85.0
17.0,56.0,85.0,23.0
28.0,45.0,65.0,20.0
99.0,70.0,125.0,75.0
18.0,37.0,13.5,53.0
73.0,73.0,197.0,94.0
18.0,1.0,1.0,1.0
23.0,55.0,31.0,85.0
3.133,38.5,16.0,55.0
23.0,55.0,31.0,85.0
15.0,69.0,25.0,56.0
177.0,83.0,88.0,32.0
8.795,50.0,21.0,61.0
45.0,36.0,42.0,77.0
26.0,56.0,55.0,56.0
51.0,56.0,110.0,56.0
